Tournament_ID,Date,Buy_In,Prize_Pool,Placement,Entrants,Award
1597683884,2017/05/02 19:00:00 ET,20,1983.8,7,109,79.35
1597684008,2017/05/05 13:30:00 ET,15,1431,8,106,46.5
1597684021,2017/05/05 19:00:00 ET,20,2093,1,115,481.46
1597684053,2017/05/06 13:30:00 ET,15,1444.5,15,107,18.77
1597684117,2017/05/07 21:00:00 ET,5,500,5,16,32.5
1622537113,2017/05/09 18:00:00 ET,10,1046.5,17,115,21.45
1622537329,2017/05/14 13:30:00 ET,15,1606.5,10,119,34.53
1622573245,2017/05/24 21:00:00 ET,5,541.45,14,119,11.64
1622573280,2017/05/25 18:00:00 ET,10,1528.8,13,168,22.93
1648956582,2017/06/19 19:00:00 ET,20,2875.6,13,158,43.13
1648956629,2017/06/20 19:00:00 ET,20,1747.2,1,96,436.86
1648956862,2017/06/25 21:00:00 ET,5,550.55,13,121,11.83
1648990476,2017/07/06 19:00:00 ET,20,2457,2,135,380.83
1701776547,2017/09/13 19:00:00 ET,20,2020.2,15,111,43.43
