account_name,tweet,time_posted,compound_score,positive_score,neutral_score,negative_score
BBC,👽🌍 Welcome back to Earth! Six people 'living on Mars' have returned to the outside world. https://t.co/9JWrayvC5X https://t.co/jtIUveZ8bq,Fri Sep 22 18:00:10 +0000 2017,0.5093,0.162,0.838,0.0
BBC,Criminal networks smuggling rhino horn from Africa are turning it into jewellery to evade detection.😡… https://t.co/Fn1dYfGaKQ,Fri Sep 22 18:00:10 +0000 2017,-0.7579,0.0,0.683,0.317
BBC,"Tonight, the #LiveLounge Show features music from @Pink, @Harry_Styles, @Stormzy1 and more. 8pm on @BBCFOUR. 🎶… https://t.co/mXh2rLDb20",Fri Sep 22 18:00:10 +0000 2017,0.0,0.0,1.0,0.0
BBC,👀 'I can see their eyes glowing in the dark &amp; I can hear the crunching of bones.' 😬 #Tribes via @BBCTwo.… https://t.co/B5d5GS1e2d,Fri Sep 22 18:00:10 +0000 2017,0.0,0.0,1.0,0.0
BBC,"Monochrome sportswear. Kebab. Techno. Repeat. 
Via @BBCTheSocial. 😂 https://t.co/mZvHE9W3sZ",Fri Sep 22 18:00:10 +0000 2017,0.0,0.0,1.0,0.0
BBC,Watch as an endangered baby rhino meets her dad for the first time. ❤️️ #WorldRhinoDay https://t.co/fOAoxgI9eO https://t.co/z3dfFVTnXv,Fri Sep 22 18:00:10 +0000 2017,0.0,0.0,1.0,0.0
BBC,This photo changed history. Photographer Ian Berry tells @BBC_Culture about capturing the anti-apartheid movement.… https://t.co/6VtHRPhdpX,Fri Sep 22 18:00:10 +0000 2017,0.0,0.0,1.0,0.0
BBC,RT @BBC_Teach: Here's today's gem from the #BBCSchools60 archives 👇👍! We've also put together a collection of clips and a quiz 👉https://t.c…,Fri Sep 22 18:00:10 +0000 2017,0.0,0.0,1.0,0.0
BBC,Professional gamer Shan Chen used to encounter men who thought she couldn't play – now she leaves them in her dust.… https://t.co/7r80qF04bq,Fri Sep 22 18:00:10 +0000 2017,-0.2584,0.0,0.908,0.092
BBC,📻 Electric cars were more popular in the late 1800s than gasoline cars - especially with women. ⚡️🚙… https://t.co/aa2PzahPh5,Fri Sep 22 18:00:10 +0000 2017,0.4754,0.162,0.838,0.0
BBC,"At 18.46 cubic metres, this bug hotel in Lancashire holds the @GWR for being the biggest in the world. Via… https://t.co/4BTGtuQCYi",Fri Sep 22 18:00:10 +0000 2017,0.0,0.0,1.0,0.0
BBC,6 pieces of celebrity advice for when you just need to get yourself together. https://t.co/tVEANDkar3 https://t.co/twOBZhLDUF,Fri Sep 22 18:00:10 +0000 2017,0.0,0.0,1.0,0.0
BBC,RT @bbcpress: 🎧 New primetime music show #SoundsLikeFridayNight bursts onto @BBCOne this Oct with hosts @GregJames &amp; @AmplifyDot: https://t…,Fri Sep 22 18:00:10 +0000 2017,0.0,0.0,1.0,0.0
BBC,"RT @BBCR1: ""Mental health is a real thing, you never know what people are going through.""

JAY-Z on the importance of talking about mental…",Fri Sep 22 18:00:10 +0000 2017,0.3612,0.102,0.898,0.0
BBC,"RT @BBCR1: 🎼 A man who don't take care of his family can't be rich 🎤

JAY-Z's Family Feud sounds INCREDIBLE in the Live Lounge 😅

#R1LiveLo…",Fri Sep 22 18:00:10 +0000 2017,-0.7877,0.0,0.716,0.284
BBC,5 things we've learnt from @Hemmch on how NOT to be a man. https://t.co/egEB5HWrTR https://t.co/NovzhyMYuU,Fri Sep 22 18:00:10 +0000 2017,0.0,0.0,1.0,0.0
BBC,❄️🎄 An ice museum full of life-sized sculptures is the latest attraction to Edinburgh's Christmas.… https://t.co/u3fFtbEgUE,Fri Sep 22 18:00:10 +0000 2017,0.4588,0.167,0.833,0.0
BBC,"RT @BBCR1: JAY-Z gives us chills with his special performance of @LinkinPark collaboration Numb/Encore in the Live Lounge 💙

#R1LiveLoungeM…",Fri Sep 22 18:00:10 +0000 2017,0.4019,0.13,0.87,0.0
BBC,"🎤  'Oh my goodness! It's like looking into a mirror!' 
When the UK’s no.1 @DollyParton tribute act met the woman he… https://t.co/UWz9jtTjgI",Fri Sep 22 18:00:10 +0000 2017,0.7256,0.253,0.747,0.0
BBC,"RT @BBCR1: ⚠️ IT'S TIME ⚠️

Hear JAY-Z perform in Radio 1's Live Lounge NOW 💥

Watch &amp; listen 👉 https://t.co/48RuyzVNDg 

#R1LiveLoungeMont…",Fri Sep 22 18:00:10 +0000 2017,0.0,0.0,1.0,0.0
BBC,👽🌍 Welcome back to Earth! Six people 'living on Mars' have returned to the outside world. https://t.co/9JWrayvC5X https://t.co/jtIUveZ8bq,Fri Sep 22 17:30:05 +0000 2017,0.5093,0.162,0.838,0.0
BBC,Criminal networks smuggling rhino horn from Africa are turning it into jewellery to evade detection.😡… https://t.co/Fn1dYfGaKQ,Fri Sep 22 17:30:05 +0000 2017,-0.7579,0.0,0.683,0.317
BBC,"Tonight, the #LiveLounge Show features music from @Pink, @Harry_Styles, @Stormzy1 and more. 8pm on @BBCFOUR. 🎶… https://t.co/mXh2rLDb20",Fri Sep 22 17:30:05 +0000 2017,0.0,0.0,1.0,0.0
BBC,👀 'I can see their eyes glowing in the dark &amp; I can hear the crunching of bones.' 😬 #Tribes via @BBCTwo.… https://t.co/B5d5GS1e2d,Fri Sep 22 17:30:05 +0000 2017,0.0,0.0,1.0,0.0
BBC,"Monochrome sportswear. Kebab. Techno. Repeat. 
Via @BBCTheSocial. 😂 https://t.co/mZvHE9W3sZ",Fri Sep 22 17:30:05 +0000 2017,0.0,0.0,1.0,0.0
BBC,Watch as an endangered baby rhino meets her dad for the first time. ❤️️ #WorldRhinoDay https://t.co/fOAoxgI9eO https://t.co/z3dfFVTnXv,Fri Sep 22 17:30:05 +0000 2017,0.0,0.0,1.0,0.0
BBC,This photo changed history. Photographer Ian Berry tells @BBC_Culture about capturing the anti-apartheid movement.… https://t.co/6VtHRPhdpX,Fri Sep 22 17:30:05 +0000 2017,0.0,0.0,1.0,0.0
BBC,RT @BBC_Teach: Here's today's gem from the #BBCSchools60 archives 👇👍! We've also put together a collection of clips and a quiz 👉https://t.c…,Fri Sep 22 17:30:05 +0000 2017,0.0,0.0,1.0,0.0
BBC,Professional gamer Shan Chen used to encounter men who thought she couldn't play – now she leaves them in her dust.… https://t.co/7r80qF04bq,Fri Sep 22 17:30:05 +0000 2017,-0.2584,0.0,0.908,0.092
BBC,📻 Electric cars were more popular in the late 1800s than gasoline cars - especially with women. ⚡️🚙… https://t.co/aa2PzahPh5,Fri Sep 22 17:30:05 +0000 2017,0.4754,0.162,0.838,0.0
BBC,"At 18.46 cubic metres, this bug hotel in Lancashire holds the @GWR for being the biggest in the world. Via… https://t.co/4BTGtuQCYi",Fri Sep 22 17:30:05 +0000 2017,0.0,0.0,1.0,0.0
BBC,6 pieces of celebrity advice for when you just need to get yourself together. https://t.co/tVEANDkar3 https://t.co/twOBZhLDUF,Fri Sep 22 17:30:05 +0000 2017,0.0,0.0,1.0,0.0
BBC,RT @bbcpress: 🎧 New primetime music show #SoundsLikeFridayNight bursts onto @BBCOne this Oct with hosts @GregJames &amp; @AmplifyDot: https://t…,Fri Sep 22 17:30:05 +0000 2017,0.0,0.0,1.0,0.0
BBC,"RT @BBCR1: ""Mental health is a real thing, you never know what people are going through.""

JAY-Z on the importance of talking about mental…",Fri Sep 22 17:30:05 +0000 2017,0.3612,0.102,0.898,0.0
BBC,"RT @BBCR1: 🎼 A man who don't take care of his family can't be rich 🎤

JAY-Z's Family Feud sounds INCREDIBLE in the Live Lounge 😅

#R1LiveLo…",Fri Sep 22 17:30:05 +0000 2017,-0.7877,0.0,0.716,0.284
BBC,5 things we've learnt from @Hemmch on how NOT to be a man. https://t.co/egEB5HWrTR https://t.co/NovzhyMYuU,Fri Sep 22 17:30:05 +0000 2017,0.0,0.0,1.0,0.0
BBC,❄️🎄 An ice museum full of life-sized sculptures is the latest attraction to Edinburgh's Christmas.… https://t.co/u3fFtbEgUE,Fri Sep 22 17:30:05 +0000 2017,0.4588,0.167,0.833,0.0
BBC,"RT @BBCR1: JAY-Z gives us chills with his special performance of @LinkinPark collaboration Numb/Encore in the Live Lounge 💙

#R1LiveLoungeM…",Fri Sep 22 17:30:05 +0000 2017,0.4019,0.13,0.87,0.0
BBC,"🎤  'Oh my goodness! It's like looking into a mirror!' 
When the UK’s no.1 @DollyParton tribute act met the woman he… https://t.co/UWz9jtTjgI",Fri Sep 22 17:30:05 +0000 2017,0.7256,0.253,0.747,0.0
BBC,"RT @BBCR1: ⚠️ IT'S TIME ⚠️

Hear JAY-Z perform in Radio 1's Live Lounge NOW 💥

Watch &amp; listen 👉 https://t.co/48RuyzVNDg 

#R1LiveLoungeMont…",Fri Sep 22 17:30:05 +0000 2017,0.0,0.0,1.0,0.0
BBC,👽🌍 Welcome back to Earth! Six people 'living on Mars' have returned to the outside world. https://t.co/9JWrayvC5X https://t.co/jtIUveZ8bq,Fri Sep 22 17:15:05 +0000 2017,0.5093,0.162,0.838,0.0
BBC,Criminal networks smuggling rhino horn from Africa are turning it into jewellery to evade detection.😡… https://t.co/Fn1dYfGaKQ,Fri Sep 22 17:15:05 +0000 2017,-0.7579,0.0,0.683,0.317
BBC,"Tonight, the #LiveLounge Show features music from @Pink, @Harry_Styles, @Stormzy1 and more. 8pm on @BBCFOUR. 🎶… https://t.co/mXh2rLDb20",Fri Sep 22 17:15:05 +0000 2017,0.0,0.0,1.0,0.0
BBC,👀 'I can see their eyes glowing in the dark &amp; I can hear the crunching of bones.' 😬 #Tribes via @BBCTwo.… https://t.co/B5d5GS1e2d,Fri Sep 22 17:15:05 +0000 2017,0.0,0.0,1.0,0.0
BBC,"Monochrome sportswear. Kebab. Techno. Repeat. 
Via @BBCTheSocial. 😂 https://t.co/mZvHE9W3sZ",Fri Sep 22 17:15:05 +0000 2017,0.0,0.0,1.0,0.0
BBC,Watch as an endangered baby rhino meets her dad for the first time. ❤️️ #WorldRhinoDay https://t.co/fOAoxgI9eO https://t.co/z3dfFVTnXv,Fri Sep 22 17:15:05 +0000 2017,0.0,0.0,1.0,0.0
BBC,This photo changed history. Photographer Ian Berry tells @BBC_Culture about capturing the anti-apartheid movement.… https://t.co/6VtHRPhdpX,Fri Sep 22 17:15:05 +0000 2017,0.0,0.0,1.0,0.0
BBC,RT @BBC_Teach: Here's today's gem from the #BBCSchools60 archives 👇👍! We've also put together a collection of clips and a quiz 👉https://t.c…,Fri Sep 22 17:15:05 +0000 2017,0.0,0.0,1.0,0.0
BBC,Professional gamer Shan Chen used to encounter men who thought she couldn't play – now she leaves them in her dust.… https://t.co/7r80qF04bq,Fri Sep 22 17:15:05 +0000 2017,-0.2584,0.0,0.908,0.092
BBC,📻 Electric cars were more popular in the late 1800s than gasoline cars - especially with women. ⚡️🚙… https://t.co/aa2PzahPh5,Fri Sep 22 17:15:05 +0000 2017,0.4754,0.162,0.838,0.0
BBC,"At 18.46 cubic metres, this bug hotel in Lancashire holds the @GWR for being the biggest in the world. Via… https://t.co/4BTGtuQCYi",Fri Sep 22 17:15:05 +0000 2017,0.0,0.0,1.0,0.0
BBC,6 pieces of celebrity advice for when you just need to get yourself together. https://t.co/tVEANDkar3 https://t.co/twOBZhLDUF,Fri Sep 22 17:15:05 +0000 2017,0.0,0.0,1.0,0.0
BBC,RT @bbcpress: 🎧 New primetime music show #SoundsLikeFridayNight bursts onto @BBCOne this Oct with hosts @GregJames &amp; @AmplifyDot: https://t…,Fri Sep 22 17:15:05 +0000 2017,0.0,0.0,1.0,0.0
BBC,"RT @BBCR1: ""Mental health is a real thing, you never know what people are going through.""

JAY-Z on the importance of talking about mental…",Fri Sep 22 17:15:05 +0000 2017,0.3612,0.102,0.898,0.0
BBC,"RT @BBCR1: 🎼 A man who don't take care of his family can't be rich 🎤

JAY-Z's Family Feud sounds INCREDIBLE in the Live Lounge 😅

#R1LiveLo…",Fri Sep 22 17:15:05 +0000 2017,-0.7877,0.0,0.716,0.284
BBC,5 things we've learnt from @Hemmch on how NOT to be a man. https://t.co/egEB5HWrTR https://t.co/NovzhyMYuU,Fri Sep 22 17:15:05 +0000 2017,0.0,0.0,1.0,0.0
BBC,❄️🎄 An ice museum full of life-sized sculptures is the latest attraction to Edinburgh's Christmas.… https://t.co/u3fFtbEgUE,Fri Sep 22 17:15:05 +0000 2017,0.4588,0.167,0.833,0.0
BBC,"RT @BBCR1: JAY-Z gives us chills with his special performance of @LinkinPark collaboration Numb/Encore in the Live Lounge 💙

#R1LiveLoungeM…",Fri Sep 22 17:15:05 +0000 2017,0.4019,0.13,0.87,0.0
BBC,"🎤  'Oh my goodness! It's like looking into a mirror!' 
When the UK’s no.1 @DollyParton tribute act met the woman he… https://t.co/UWz9jtTjgI",Fri Sep 22 17:15:05 +0000 2017,0.7256,0.253,0.747,0.0
BBC,"RT @BBCR1: ⚠️ IT'S TIME ⚠️

Hear JAY-Z perform in Radio 1's Live Lounge NOW 💥

Watch &amp; listen 👉 https://t.co/48RuyzVNDg 

#R1LiveLoungeMont…",Fri Sep 22 17:15:05 +0000 2017,0.0,0.0,1.0,0.0
BBC,👽🌍 Welcome back to Earth! Six people 'living on Mars' have returned to the outside world. https://t.co/9JWrayvC5X https://t.co/jtIUveZ8bq,Fri Sep 22 17:01:06 +0000 2017,0.5093,0.162,0.838,0.0
BBC,Criminal networks smuggling rhino horn from Africa are turning it into jewellery to evade detection.😡… https://t.co/Fn1dYfGaKQ,Fri Sep 22 17:01:06 +0000 2017,-0.7579,0.0,0.683,0.317
BBC,"Tonight, the #LiveLounge Show features music from @Pink, @Harry_Styles, @Stormzy1 and more. 8pm on @BBCFOUR. 🎶… https://t.co/mXh2rLDb20",Fri Sep 22 17:01:06 +0000 2017,0.0,0.0,1.0,0.0
BBC,👀 'I can see their eyes glowing in the dark &amp; I can hear the crunching of bones.' 😬 #Tribes via @BBCTwo.… https://t.co/B5d5GS1e2d,Fri Sep 22 17:01:06 +0000 2017,0.0,0.0,1.0,0.0
BBC,"Monochrome sportswear. Kebab. Techno. Repeat. 
Via @BBCTheSocial. 😂 https://t.co/mZvHE9W3sZ",Fri Sep 22 17:01:06 +0000 2017,0.0,0.0,1.0,0.0
BBC,Watch as an endangered baby rhino meets her dad for the first time. ❤️️ #WorldRhinoDay https://t.co/fOAoxgI9eO https://t.co/z3dfFVTnXv,Fri Sep 22 17:01:06 +0000 2017,0.0,0.0,1.0,0.0
BBC,This photo changed history. Photographer Ian Berry tells @BBC_Culture about capturing the anti-apartheid movement.… https://t.co/6VtHRPhdpX,Fri Sep 22 17:01:06 +0000 2017,0.0,0.0,1.0,0.0
BBC,RT @BBC_Teach: Here's today's gem from the #BBCSchools60 archives 👇👍! We've also put together a collection of clips and a quiz 👉https://t.c…,Fri Sep 22 17:01:06 +0000 2017,0.0,0.0,1.0,0.0
BBC,Professional gamer Shan Chen used to encounter men who thought she couldn't play – now she leaves them in her dust.… https://t.co/7r80qF04bq,Fri Sep 22 17:01:06 +0000 2017,-0.2584,0.0,0.908,0.092
BBC,📻 Electric cars were more popular in the late 1800s than gasoline cars - especially with women. ⚡️🚙… https://t.co/aa2PzahPh5,Fri Sep 22 17:01:06 +0000 2017,0.4754,0.162,0.838,0.0
BBC,"At 18.46 cubic metres, this bug hotel in Lancashire holds the @GWR for being the biggest in the world. Via… https://t.co/4BTGtuQCYi",Fri Sep 22 17:01:06 +0000 2017,0.0,0.0,1.0,0.0
BBC,6 pieces of celebrity advice for when you just need to get yourself together. https://t.co/tVEANDkar3 https://t.co/twOBZhLDUF,Fri Sep 22 17:01:06 +0000 2017,0.0,0.0,1.0,0.0
